SampleID	Act_Actinobaculum.	Act_Actinomyces.	Aer_Abiotrophia.	Bac_unclassified_Bacteroidaceae.	Bur_Lautropia.	Cam_Campylobacter.	Car_Cardiobacterium.	Car_Granulicatella.	Clo_Parvimonas.	Com_unclassified_Comamonadaceae.	Cor_Corynebacterium.	Eub_Eubacterium.	Fla_Bergeyella.	Fla_Capnocytophaga.	Fus_Fusobacterium.	Fus_Leptotrichia.	Lac_Catonella.	Lac_Uncultured_Lachnospiraceae.	Mic_Rothia.	Mor_Acinetobacter.	Mor_Moraxella.	Nei_Eikenella.	Nei_Kingella.	Nei_Neisseria.	Pas_Aggregatibacter.	Pas_Haemophilus.	Pep_Filifactor.	Pep_Peptococcus.	Pep_Peptostreptococcus.	Por_Porphyromonas.	Por_Tannerella.	Pre_Prevotella.	Pro_Propionibacterium.	Spi_Treponema.	SR1_SR1.	Sta_Gemella.	Str_Streptococcus.	Syn_Synergistes.	TM7_TM7.	Vei_Dialister.	Vei_Megasphaera.	Vei_Selenomonas.	Vei_Veillonella.	Vei_Veillonellaceae.
L3051_28	0.000250026	0.00636801	0.00105623	0.00544954	0.0435504	0.0115114	0.003383	0.0103633	0.00015818	0.00283193	0.0122462	0.000918463	0.00329116	0.240874	0.0470199	0.261548	0.00114808	0.00653639	0.00679662	0	9.18E-05	0.00113277	0.011144	0.0677733	0.011218	0.0491224	0	0.00273243	0.000612308	0.0302633	0.00221196	0.0482997	0.00335239	0.000589347	0.00434739	0.00203593	0.0360601	3.06E-05	0.037611	6.63E-05	0.000474539	0.00305389	0.0180019	7.65E-05
L3051_3	0.000796744	0.0154988	0.00508239	0	0.0922126	0.00367341	0.00140898	0.0161781	0	0	0.007611	0.000201283	0.0101145	0.246082	0.0442604	0.0727133	0.000553527	0.00347212	0.00581204	0	0.000855451	0.00148446	0.0127814	0.0401873	0.00907868	0.158367	0	5.03E-05	5.03E-05	0.0450873	0.000440306	0.0231601	0.000452886	3.77E-05	0.00460434	0.00296892	0.0910074	0	0.00364825	0	0.000377405	0.00105673	0.0777957	0
L3051_7	0.000383118	0.0155069	0.00350459	0.000640624	0.0284701	0.0129821	0.00209145	0.00866727	1.88E-05	0.000113051	0.0139995	0.000772517	0.00495542	0.120955	0.0645693	0.238067	0.00126241	0.00947747	0.00148851	0	0.000188419	0.00105515	0.00533225	0.0304984	0.0153122	0.0715113	0	0.00128125	0.000320312	0.0729982	0.00323138	0.0925325	0.00113051	0.000320312	0.00520036	0.0037935	0.0389019	0	0.0611985	3.14E-05	0.000659466	0.00339154	0.0598795	7.54E-05
L5041_0	0.000647787	0.0342184	0	0.00832597	0.0143466	0.0261782	0.0160613	0.000933576	0.00220375	0.00230536	0.0237014	0.00674461	0.00247683	0.178143	0.0501486	0.132453	0.00259115	0.00969776	0.0119079	0	0	0.00160042	0.00236252	0.0318149	0.00969141	0.0582627	0.00110505	0.000866892	0.00142894	0.0864034	0.0105265	0.137106	0.00167663	0.0144704	0.000247683	0.00128922	0.0256498	0.00415346	0.0567004	0.000762103	0.000171473	0.00709232	0.0120412	0.00120031
L5041_1	0.00131788	0.0249844	0	0.00257777	0.0142015	0.0160043	0.0153717	0.00166053	0.000363735	0.000600953	0.0373065	0.00177123	0.00343967	0.311199	0.0403553	0.0981609	0.00104376	0.00501585	0.0138852	0	0	0.00194519	0.00302058	0.067166	0.0212943	0.149919	0.000197682	0.000268847	0.00052188	0.0267899	0.00334478	0.065069	0.00211915	0.0028229	0.000300477	0.00059041	0.0257187	0.000585138	0.0141698	0.000268847	0.00017396	0.0039655	0.0181551	0.000632582
L5041_14	0	0.00288865	0.000106987	0.00722163	0.00299564	0.0111267	0.00358407	0.00117686	0.000160481	0.00133734	0.0147107	0.0024607	0.00243396	0.141985	0.0365798	0.3093	0.00112336	0.00561682	0.000748909	0	0	0.000374455	0.000962884	0.0377825	0.00658862	0.0061785	0.000187227	0.00649946	0.000427948	0.0275759	0.00264793	0.0953736	0.000534935	0.00529586	0.00112336	0	0.00887101	0.000374455	0.221303	0.000338792	0	0.00607152	0.0189902	0.000748909
L5041_21b	0.000103621	0.0019466	0.000577318	0.0106138	0.00612845	0.0194956	0.00262014	0.00262014	0.000118424	0.00159873	0.0108136	0.00310864	0.00259793	0.176846	0.0605962	0.235457	0.001954	0.00670577	0.000355273	0	0	0.000710545	0.000532909	0.052667	0.0104287	0.0179709	0.000377477	0.00897064	0.000799363	0.059819	0.00348611	0.112784	0.000310864	0.00535129	0.00177636	0.000458894	0.00966416	0.000710545	0.144241	8.88E-05	8.88E-05	0.00887071	0.00990323	0.00128786
L5041_28	0.000120523	0.00694514	0.000198863	0.0088946	0.00189824	0.0162345	0.00287447	0.00144628	0.000228994	0.00292871	0.0271177	0.0020971	0.00264849	0.136757	0.038078	0.348661	0.0011751	0.00949119	0.001844	0	0	0.00047004	0.000632746	0.0741849	0.0282175	0.00950023	0.000225981	0.00241347	0.000307334	0.0368755	0.00309142	0.0875648	0.00103047	0.00481791	0.00385071	0.000602615	0.00848241	0.000542354	0.0953819	0.000186811	0.00023502	0.0130798	0.0134504	0.00108471
L5041_3	5.14E-05	0.00292737	0	0.00130961	0.0157924	0.0181035	0.00412142	0.00227256	0.000256787	0.00331255	0.0179879	0.00188738	0.00155998	0.488872	0.0741529	0.114899	0.00119406	0.00674065	0.00323551	0	0	0.00119406	0.000808878	0.0762483	0.0106181	0.015741	5.78E-05	0.000462216	0.000231108	0.049746	0.00111702	0.0407713	0.000423698	0.00096295	0.000731842	0.000552091	0.0137663	0.00019259	0.0147524	5.14E-05	0	0.00056814	0.0105539	0.000115554
L5041_7	9.66E-05	0.0180537	0.00016093	0.00128744	0.00840056	0.0142101	0.00289674	0.00416809	0.000305767	0.00317033	0.0353081	0.00202772	0.00132767	0.186611	0.0458498	0.218559	0.00117479	0.00724186	0.00289674	0	0	0.000804651	0.00175414	0.0358778	0.00470453	0.00744839	5.63E-05	0.00313814	0.000402326	0.0282956	0.00217256	0.112514	0.000804651	0.00229326	0.000675907	0.000713457	0.0259926	0.000241395	0.168027	9.66E-05	3.22E-05	0.00656193	0.0401843	0.000257488
L5059_0	0.000398214	0.0639328	0.000117122	0	0.154788	0.000632457	0.00665251	0.00400556	0	0.00271722	0.0352771	0	0.0107049	0.24121	0.00631872	0.0130942	0.000140546	0.000234243	0.14167	0	0	0.00185052	0.00955713	0.0341621	3.12E-05	0.176331	0	0	0	0.00489569	0	0.00367762	0.000749579	0	0	0.0016397	0.0763926	0	0.000257668	0	0	0	0.00836249	0
L5059_1	0.000119828	0.0196166	0.000105731	0	0.0802287	0.000761263	0.00215691	0.0115458	1.41E-05	0.000718971	0.0201206	0	0.00483191	0.452684	0.00637029	0.0166421	4.23E-05	0.000972725	0.139269	0	0	0.0013745	0.00782409	0.0379712	0.000116304	0.131868	0	0	0	0.00300276	2.11E-05	0.00565661	0.000507509	0	0	0.00222035	0.0399624	0	0.000422924	0	0	4.76E-05	0.0122648	0
L5059_14	4.35E-05	0.00857341	0.00652246	0.00221764	0.0203066	0.0172628	0.00613111	0.00478314	0.000536291	0.00865313	0.0111751	0.00382651	0.00180455	0.281024	0.159452	0.145059	0.00365258	0.0132188	0.00456572	0	0	0.00386999	0.00278292	0.0393152	0.00890678	0.00719644	8.70E-05	0.00241331	0.000869661	0.0830961	0.00430482	0.0489619	0.000608763	0.000869661	0.0169149	0.00344966	0.0267921	0	0.0159583	2.90E-05	0	0.00251115	0.0290467	0
L5059_21b	0.000111077	0.0078309	0.00149229	0.00240505	0.0657187	0.00676601	0.008012	0.00318741	8.69E-05	0.0143868	0.0228914	0.000521577	0.00281796	0.364709	0.0111504	0.192447	0.000217324	0.00150678	0.0408713	0	0	0.00399876	0.00491152	0.0862826	0.0116389	0.0520563	5.07E-05	0.000383939	8.69E-05	0.016082	0.001543	0.0137196	0.00114457	0.000608506	0.00108662	0.000424989	0.0454248	5.80E-05	0.00820035	9.66E-06	0	0.000608506	0.0032019	5.80E-05
L5059_28	0	0.00233089	0.00275901	0.0026163	0.0139853	0.0105604	0.00651698	0.00137951	0.000206133	0.0219294	0.017553	0.00161735	0.00218818	0.407844	0.0497574	0.290172	0.00114166	0.00404338	0.00214061	0	0	0.00318713	0.00770621	0.0294263	0.00882408	0.00492658	0	0.00325849	0.000285415	0.0282561	0.00437636	0.013248	0.000761107	0.000856245	0.00975168	0.000903814	0.0111859	0	0.0208353	3.17E-05	0	0.00211683	0.0103225	0
L5059_3	1.63E-05	0.00548251	0.00634357	4.90E-05	0.0793437	0.00122621	0.00174939	0.00539531	8.72E-05	0.00465958	0.00539531	0	0.00233797	0.549972	0.0170737	0.0661824	0.000163494	0.00310639	0.0118043	0	0	0.00524816	0.00642532	0.0866437	0.0078668	0.0390152	0	3.27E-05	0	0.0351676	0	0.00457784	6.54E-05	0	0.00156954	0.000539531	0.0332741	0	0.0043326	0	0	0	0.0106271	0
L5059_7	2.56E-05	0.008049	0.00901668	0.000519084	0.0354323	0.00890133	0.00407577	0.00613288	8.33E-05	0.0259926	0.00794967	0.000788238	0.00225898	0.360975	0.0384148	0.270443	0.00086514	0.00390274	0.00376816	0	0	0.00372971	0.00342211	0.0390582	0.020318	0.00485119	0	0.00203788	0.00028838	0.0524275	0.000797851	0.025166	0.000499859	6.73E-05	0.0056907	0.00139704	0.023956	0	0.00492168	0	0	0.00134097	0.0210325	0
L5065_0	0.00104114	0.0129116	0.00057369	0.00350588	0.0123662	0.0113251	0.00297469	0.00174232	0.000113321	6.37E-05	0.0220977	0.000318716	0.00203979	0.257042	0.0633665	0.191612	0.000892406	0.0080529	0.00654431	0	0	0.0014236	0.00467451	0.0732378	0.0195302	0.0356722	4.25E-05	0.00116863	0.000318716	0.104119	0.00512071	0.0585748	0.000361212	0.00148734	0.00488698	0.00084991	0.0466838	0.000127487	0.00713925	0.000205395	0	0.0036918	0.0298319	4.25E-05
L5065_1	0.000282013	0.00490428	0.00247622	0.00175399	0.025959	0.00274447	0.000515878	0.0100906	0.000158203	4.13E-05	0.00563339	0.000474608	0.00272384	0.438868	0.0265533	0.0305813	0.0011762	0.00392068	0.0147335	0	6.19E-05	0.000825405	0.00266193	0.107558	0.003563	0.0898247	8.25E-05	0.000154764	0.000185716	0.0663832	0.000412703	0.0258961	0.000309527	0.00080477	0.00321908	0.00192595	0.0660104	0.000165081	0.00208415	6.19E-05	0	0.000500402	0.051918	0
L5065_14	0.000327275	0.0239184	0.0133637	0.00616369	0.0026182	0.0142183	0.00145456	0.00990917	0.000800006	0.000200002	0.0114001	0.00183638	0.0010091	0.0534504	0.0459304	0.338094	0.00240002	0.00860007	0.00174547	0	0.00383639	0.000309093	0.000545459	0.0352794	0.00350609	0.0383427	0.000109092	0.00148183	0.00185456	0.0515231	0.00376367	0.136767	0.000818188	0.00225456	0.00196365	0.00211517	0.0666872	0.000272729	0.0158547	0.000563641	5.45E-05	0.00544095	0.0844916	0.000636369
L5065_21b	0.000185366	0.00196488	0.00326244	0.012679	0.00189073	0.0318829	0.00170536	0.00133463	0.000494309	0.000741463	0.00754439	0.00611707	0.00211317	0.115653	0.100601	0.165495	0.0055239	0.00819317	0.00070439	0	0	0.000741463	0.00296585	0.050514	0.0168003	0.00910764	0.000778536	0.00582048	0.0024839	0.106224	0.0047639	0.176301	0.000481951	0.0184995	0.00481951	0.000667317	0.0210347	0.00218732	0.0656195	0.000321301	0.000148293	0.00721073	0.0108624	0.00111219
L5065_28	0.000104497	0.00337375	0.00309012	0.0283933	0.00268706	0.0414255	0.000671765	0.00295577	0.0004777	0.00134353	0.00991973	0.00300055	0.00304534	0.174695	0.0920669	0.235521	0.00156745	0.00953906	0.000582196	0	0.00273185	0.00103004	0	0.069774	0.0135473	0.0296413	0.000134353	0.00716549	0.00147788	0.045109	0.00237357	0.101972	0.000403059	0.003426	0.00577718	0.000970327	0.0178988	0.000358275	0.0469788	0.000164209	0.000179137	0.00868816	0.0186303	0.000671765
